#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T01:22+0000 #
#####################################################################
#
# seed = 50.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
150.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
151.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
152.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
153.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
154.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
155.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
156.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
157.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
158.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
159.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
160.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
161.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
162.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
163.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
164.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
165.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
166.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
167.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
168.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
169.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
170.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
171.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
172.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
173.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
174.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
175.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
176.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
177.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
178.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
179.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
180.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
181.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
182.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
183.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
184.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
185.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
186.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
187.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
188.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
189.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
190.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
191.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
192.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
193.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
194.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
195.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
196.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
197.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
198.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
199.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
200.0 3.2749999999999972 9218.0 63292.0 3419.0 3764.0 9932.0
201.0 3.600000000000001 9243.0 63452.0 3419.0 3789.0 9957.0
202.0 3.9249999999999994 9286.0 63715.0 3419.0 3832.0 10000.0
203.0 4.225 9341.0 64073.0 3419.0 3887.0 10055.0
